player_id,player_name,games,ppg,orpg,drpg,trpg,apg,spg,bpg,3pm,3pa,3pct,ftm,fta,ftpct
17,Cheese,9,6.6,0.1,2.9,3,1.3,0.4,0.3,0.2,0.6,0.333,0,0.2,0
166,Matt Kaplan,90,14.7,0.9,4.3,5.1,3.8,1.5,0.6,2.7,7.7,0.351,2,3,0.667
201,Michael Manning,2,0,1,3.5,4.5,0,0,0,0,2,0,0,0,NaN
486,James Aikman,7,3.4,2.4,3.9,6.3,1.9,0.4,1.1,0,0,NaN,0.3,0.9,0.333
544,Jason Tibbetts,3,4.7,1.3,1.7,3,2.7,1,1.7,0,1,0,0,0,NaN
566,Andrew Ray,34,18.2,2.4,6.3,8.7,1.9,0.6,0.5,1,3.1,0.323,2.4,3.1,0.774
611,Mike Kuzdeba,43,4.3,1.5,4.5,6,3,0.5,0.2,0.3,1,0.3,0.5,1,0.5
621,Paul Reeves,5,7.8,0,3.8,3.8,2.6,1.6,1.4,1.4,3.6,0.389,0,0,NaN
943,Brian Mariani,18,12.4,1.3,3.6,4.9,1.4,0.8,0.1,2.8,8.5,0.329,0.5,0.7,0.714
960,Tom Kahana,33,13.6,0.5,3.5,4,4.3,1.2,0.3,2.4,7.4,0.324,0.9,1.3,0.692
1073,Chris Kerr,58,17.4,1.5,5.3,6.7,1.3,0.9,1.2,1.9,5.9,0.322,2.3,3.5,0.657
1106,Yavor Nechev,14,17.9,0.5,2.4,2.9,3.9,1,0.1,3.6,10.5,0.343,1.4,1.8,0.778
1318,Vladi Nechev,94,17.5,0.6,4.9,5.5,4.6,1.1,0.2,2.7,8.4,0.321,3.3,4.1,0.805
1539,Chris Maciejczak,31,20,1.2,7,8.2,1.8,1.2,0.5,4.2,11.5,0.365,2.2,3.7,0.595
1629,Chanel Wright,60,11.5,1.2,3.9,5.1,2.2,1.4,0.3,1.4,4.8,0.292,1.2,2.1,0.571
1656,Damian Ruff,63,8.3,0.6,4.1,4.7,2.5,0.8,0.7,1.7,5.8,0.293,0.8,1.4,0.571
1809,Dan Macgregor,21,12.1,1.9,2.7,4.6,2.4,0.8,0,0.8,2.9,0.276,1.1,2.1,0.524
1875,Mike Gerrity,11,2.1,1,3.5,4.5,0.9,0.2,0.4,0.5,2.3,0.217,0,0,NaN
1881,Terry Henderson,47,22,2.4,7.3,9.7,3.5,0.9,1,1.3,4,0.325,5.1,7.3,0.699
2012,Kevin Tang,8,6.1,0.4,1.2,1.6,1.4,0.6,0.1,1.2,4.8,0.25,0.6,0.8,0.75
2254,Mike Fraher,30,9.3,1.1,4.4,5.4,0.7,0.2,0.2,0.2,0.9,0.222,0.3,0.5,0.6
2656,Brad Mulholland,54,4.8,0.9,3.2,4.1,0.6,0.7,0.6,0.9,3.1,0.29,0.6,1.1,0.545
2788,Jono Edwards,9,16.3,0.6,6.9,7.4,2.2,1.1,0.1,1.8,5.3,0.34,1,1.8,0.556
3142,Ryan Ouellette,89,15.7,1.1,6.1,7.2,2.3,0.8,0.8,2.8,7.6,0.368,1.4,2,0.7
3327,Scott Mulholland,59,6.2,3.1,5.8,8.9,1.2,0.7,1.5,0.3,0.9,0.333,1,1.7,0.588
3329,John Mulholland,71,15.4,3.3,6.1,9.4,2.8,0.9,1.2,1.3,3.3,0.394,2.7,3.9,0.692
3674,Brett Armstrong,82,20.4,1.6,4.5,6.1,3.5,1.5,0.4,2.7,6.9,0.391,1.3,1.9,0.684
3709,Frank Malsbenden,52,4.1,0.9,2.5,3.3,0.7,0.1,0.3,0.6,1.7,0.353,0.1,0.2,0.5
4026,Matt Roberts,28,11.9,2.3,5.1,7.4,2,0.4,0.2,0.5,1.5,0.333,0.9,1.1,0.818
4034,Nelson de Pina,19,11.2,2.3,9.3,11.6,1.4,1.4,0.3,1.5,4.1,0.366,0.2,0.6,0.333
4252,Jake Struck,22,15.4,3.2,7.5,10.7,3.1,0.8,1.1,0,0.3,0,2.4,5.5,0.436
4381,Elijah Heckstall,45,18.6,2.9,4.9,7.8,3.7,1,1.1,0.6,2.1,0.286,3.8,6.7,0.567
4493,Matt Hohrath,2,30.5,1.5,12.5,14,0.5,0.5,4.5,1.5,6,0.25,6,7,0.857
4563,Neal Grabowski,8,2.1,1.1,3.4,4.5,1.6,0.9,0.2,0,0.5,0,0.1,0.2,0.5
4780,Craig Noto,5,17.4,3.6,8,11.6,1.4,1,1.8,1.6,3.4,0.471,1.4,2,0.7
4861,Mike Reddick,9,16.8,1.2,4.8,6,1.1,0.7,1,2.1,7.4,0.284,2.8,3.4,0.824
5172,Dan Ollquist,7,22,1.7,6,7.7,2.9,1.7,0,1,5.4,0.185,3.6,5.6,0.643
5766,Mike Cook,5,9.2,3.8,8.6,12.4,1.6,1.4,0.8,0,0.4,0,0.8,2,0.4
5823,Kevin Swecker,92,15.4,2,6.1,8.1,3.4,1,1.1,1.3,4.7,0.277,2.6,4.8,0.542
5912,Marc LeBlanc,66,15.9,0.8,5.3,6.1,3.2,0.6,0.2,2.3,5.6,0.411,2.3,2.8,0.821
5957,Andy Rawlins,6,16.3,2.8,5.5,8.3,2.7,1.3,0,0.3,1.7,0.176,0.7,1.3,0.538
6013,Wolfman,30,27.7,2.8,7.3,10,3.5,1.3,1.5,1.8,5.1,0.353,5.8,8.4,0.69
6167,Jesus Trejo,5,18.2,4.2,7.4,11.6,1,0.2,0.2,0,0,NaN,0.6,2.6,0.231
6338,Xavier Holland,46,12.5,1.8,6.8,8.6,2.4,1.2,0.5,0.9,3.8,0.237,1.5,3,0.5
6355,Chris McCauley,17,12.1,2.2,3.7,5.9,2.1,1.7,0.1,0.6,3.4,0.176,0.9,1.9,0.474
6372,Asher Cowan,30,23.9,1.3,6.5,7.8,2,1.1,0.7,4.2,10.7,0.393,2.2,3.3,0.667
6384,Rev. Rip Rohman,6,2.3,0.7,3.8,4.5,0.2,0.3,0.5,0.3,2.5,0.12,0,0,NaN
6409,Jason Millberg,7,9.9,0.4,3.1,3.6,0.3,0.6,0.4,1.6,5.3,0.302,0,0,NaN
6455,Mike Sydorko,25,8.5,3.2,4.4,7.6,0.8,1,0.4,0.9,1.6,0.562,1.4,2.3,0.609
6495,Tim McDonald,16,21.8,1.2,6.6,7.8,4.1,1.4,0.2,2.7,6.9,0.391,1.3,2.2,0.591
6777,Brian Robinson,47,5.3,2.2,5,7.2,1.3,0.6,0.9,0.2,0.8,0.25,0.7,1.4,0.5
6817,Joe Hoerner,77,15.2,2.2,5.2,7.4,2.4,2.2,0.4,1,3.6,0.278,1.7,3.9,0.436
8080,Seyi Tayo,38,8,1.4,3.1,4.4,1,0.6,0.4,0,0.1,0,0.6,0.9,0.667
8092,Rob Lunn,24,6.5,2.5,3.8,6.3,0.5,0.8,0.4,0,0.4,0,0.5,0.9,0.556
8321,Ryo Gokita,15,24.8,1.3,9.3,10.5,6.6,1.7,0.5,2.6,6,0.433,2.5,3.9,0.641
8322,Nick Edson,10,19,2.4,5.9,8.3,3.8,0.7,0.3,1.4,4.1,0.341,2.6,3.7,0.703
8324,Dan Buckley,51,8,3.1,4.6,7.7,0.7,0.7,0.9,0,0,NaN,0.4,0.8,0.5
8325,Nick Mazzeo,87,23.5,0.7,3.4,4.2,3.9,0.9,0.3,4.5,11.6,0.388,2.1,3.1,0.677
8326,Pat Shannon,10,12.3,2.9,5.8,8.7,2.2,2,1,0.2,0.5,0.4,0.5,2.2,0.227
8351,Tim Lens,40,22.9,1.1,4.2,5.3,4.1,1.3,0.1,2.6,6.7,0.388,2.6,3.5,0.743
8369,Bryan Walsh,60,8.6,1.4,4,5.4,1.5,0.5,0.7,1.5,4.9,0.306,0.4,1,0.4
8435,Jeff Yeakley,45,16,1,4.9,5.9,1.1,0.6,0.7,2.8,7.3,0.384,1.3,1.9,0.684
8561,Brendan Mahoney,44,10.2,1.2,3.7,4.9,2,0.6,0,1.9,5.1,0.373,0.5,0.8,0.625
8615,Brandon Colon,6,6.5,3.2,4.5,7.7,3.5,0.5,0,0.2,1.5,0.133,1,2.8,0.357
8964,Marcel Quetant,50,15.5,3.9,6.1,10,1.3,1.1,2,0.7,1.9,0.368,2.7,3.9,0.692
8978,Billy Jackson,107,10.6,0.7,3.2,3.8,4.2,0.9,0.6,0.5,1.9,0.263,1.1,1.9,0.579
9065,Daniel Popko,74,15.3,1.8,6.4,8.2,1.7,1,2,2.4,7.4,0.324,1.2,1.8,0.667
9082,Mike Rousselle,6,11.2,0.8,1.3,2.2,1.5,0.3,0.2,0,0,NaN,0.5,0.7,0.714
9164,Franz Hertle,21,12.3,0.8,5.3,6.1,4.2,1,0,2.6,6.8,0.382,0.6,1,0.6
9179,Thomas Leatherman,9,12.6,3.2,5.7,8.9,0.8,0.8,0.2,0,0.4,0,1.7,2.6,0.654
9240,Ryan Fischer,61,26,0.5,5.4,5.9,5.7,0.9,0.4,4.8,11.8,0.407,2.9,4.6,0.63
9246,Austin Emery,10,13.3,1.2,3.5,4.7,1.4,1,0.4,2.1,6.8,0.309,0.2,0.5,0.4
9438,Anthony  Melo,17,12.5,3,5.1,8.1,0.9,0.9,0.5,0,0.1,0,1.9,4.1,0.463
9441,Musse Kassa,22,7.8,0.8,4,4.8,2.5,1.2,0.5,0.8,2.6,0.308,1.5,2.3,0.652
9498,Matt Fermon,74,21.9,1,6,7,4,1.5,0.2,4.4,12.8,0.344,2.4,3.7,0.649
9505,Kofi Williams,40,16.2,1.6,6.3,7.9,2,0.9,1.4,1.8,5.5,0.327,1.6,2.8,0.571
9618,Jason Baldwin,7,4.6,2,3.9,5.9,2,1.1,1,0.6,3.6,0.167,0,0,NaN
9936,Matt Wetherbee,14,20.1,1.7,5.6,7.3,1.8,0.5,0.6,2.6,7.9,0.329,3.2,4.2,0.762
9970,Eric Benvenuti,8,30.9,1.2,7.9,9.1,1.8,1.9,0.8,3.8,9,0.422,5.6,6.6,0.848
9982,Liam Corrigan,10,8.3,2,4.2,6.2,2.5,0.7,0.1,0.6,2.3,0.261,1.6,2.3,0.696
