player_id,player_name,games,ppg,ppg_tile,orpg,orpg_tile,drpg,drpg_tile,trpg,trpg_tile,apg,apg_tile,spg,spg_tile,bpg,bpg_tile,3pm,3pm_tile,3pa,3pa_tile,3pct,3pct_tile,ftm,ftm_tile,fta,fta_tile,ftpct,ftpct_tile,
166,Matt Kaplan,241,14.8,64,1.2,38,4.8,58,6,46,4,90,1.7,88,0.6,68,2.7,87,7.6,87,0.355,66,1.8,74,2.7,70,0.667,71,700
1073,Chris Kerr,94,20.5,84,2.2,71,6.5,79,8.7,78,1.4,31,0.9,48,1.2,92,2.1,79,6.5,82,0.323,50,2.7,87,4.1,87,0.659,64,688
2254,Mike Fraher,166,10.6,45,1.5,50,4.2,47,5.7,42,1,20,0.3,11,0.2,37,0.2,24,0.5,15,0.4,85,0.4,26,0.5,19,0.8,92,421
3674,Brett Armstrong,159,21,86,1.9,62,5.4,66,7.3,66,3.8,88,1.7,88,0.5,64,2.5,84,6.4,81,0.391,79,1.6,68,2.6,68,0.615,56,738
4026,Matt Roberts,37,11.6,50,2.1,69,5.3,64,7.4,66,2.4,62,0.5,22,0.4,55,0.5,35,1.8,34,0.278,36,0.8,47,1.1,34,0.727,84,510
5823,Kevin Swecker,101,15.5,67,2,67,5.9,72,7.9,71,3.4,83,1,56,1.1,89,1.4,60,4.9,68,0.286,40,2.6,86,4.7,90,0.553,43,675
6455,Mike Sydorko,25,8.5,35,3.2,90,4.4,50,7.6,68,0.8,12,1,56,0.4,55,0.9,48,1.6,30,0.562,98,1.4,64,2.3,62,0.609,54,542
7264,Keith Baranowski,124,18.2,78,3.2,90,7.2,85,10.4,88,3.1,78,1.5,83,1.2,92,0.7,42,2.2,38,0.318,49,1.9,78,3,76,0.633,61,730
8324,Dan Buckley,61,8.6,36,3.3,91,4.7,55,8,72,0.8,12,0.7,33,1,87,0,14,0.1,7,0,14,0.5,32,1,32,0.5,37,404
8325,Nick Mazzeo,134,24.3,92,0.7,15,4,44,4.7,32,3.6,86,1.2,70,0.3,45,4.6,98,11.1,97,0.414,87,2.3,82,3.4,81,0.676,72,689
8369,Bryan Walsh,165,11.3,48,1.5,50,4.8,58,6.2,50,1.6,39,0.6,27,0.6,68,1.6,67,5.2,72,0.308,45,0.7,42,1.5,46,0.467,28,481
8964,Marcel Quetant,106,16,69,3.6,94,6.5,79,10,86,1.2,25,1.3,74,2.3,99,0.6,39,1.8,34,0.333,58,2.6,86,3.8,85,0.684,74,691
8978,Billy Jackson,161,10.7,46,0.7,15,3.2,26,3.9,20,3.5,84,0.9,48,0.6,68,0.6,39,2.1,36,0.286,40,1,53,1.7,50,0.588,50,463
9505,Kofi Williams,79,16.7,72,1.9,62,6.3,77,8.2,74,2,52,1.1,63,1.3,93,1.7,70,5.1,70,0.333,58,1.7,71,2.7,70,0.63,59,676
9549,Kevin Meives,21,13.4,57,2,67,6.8,82,8.8,79,2.9,74,1.3,74,0.2,37,1,51,4.1,61,0.244,28,1,53,3.2,78,0.312,15,573
9970,Eric Benvenuti,8,30.9,98,1.2,38,7.9,90,9.1,82,1.8,46,1.9,93,0.8,79,3.8,96,9,93,0.422,88,5.6,99,6.6,97,0.848,94,816
10284,Chris Kerr,6,17.8,76,0.8,19,5.3,64,6.2,50,0.7,9,1.8,90,0.2,37,3.5,94,8.3,91,0.422,88,2,78,2.7,70,0.741,85,629
10911,Remy Baudet,25,18.4,79,1,29,3.7,35,4.7,32,1.6,39,0.8,41,0.1,23,2.2,80,5.6,74,0.393,80,2.1,80,2.8,72,0.75,87,559
10935,Evan Kodra,111,6.8,23,1.7,56,5.2,63,6.9,60,1.4,31,0.7,33,1.7,97,0.6,39,1.6,30,0.375,75,0.6,39,1.1,34,0.545,42,484
11761,Pat Kelley,57,18.3,78,0.7,15,5.4,66,6.1,48,3.8,88,1.3,74,0.6,68,3.9,96,9.6,95,0.406,86,2.4,84,3,76,0.8,92,738
12726,David Cox,38,14.1,61,3.1,89,7.8,88,10.8,91,2.7,71,1.4,80,0.6,68,0.4,32,1.2,25,0.333,58,1.8,74,2.6,68,0.692,76,684
12856,Sam Pollock,34,14.1,61,2.8,85,6,74,8.8,79,2.8,73,0.9,48,0.4,55,1,51,2.2,38,0.455,93,1.1,56,1.6,48,0.688,75,650
13859,Marc Gasser-Wingate,18,14.6,63,1.8,59,9.1,96,10.8,91,3.6,86,0.9,48,0.5,64,2.3,82,5.8,75,0.397,82,0.6,39,1.1,34,0.545,42,649
13870,Mathieu Despots,9,4.9,14,0.9,23,3.9,40,4.8,34,1,20,0.4,15,0.1,23,0,14,0.9,20,0,14,0.8,47,1.8,53,0.444,26,248
14136,Jeffrey Yates,12,23.8,91,1.1,33,4.3,48,5.4,40,1.7,42,0.8,41,0,11,4.2,97,9.5,95,0.442,91,1.5,65,1.8,53,0.833,94,599
14545,Lyon Van Voorhis,33,19.3,81,2.8,85,9.2,96,12,95,2.2,57,1.4,80,2.1,98,1.5,64,3.9,57,0.385,77,1.7,71,3.8,85,0.447,26,742
14811,Kevin Clarke,11,21.1,86,1.1,33,7.5,87,8.5,77,2.4,62,1.3,74,1.2,92,1.5,64,4.3,62,0.349,63,2.3,82,2.7,70,0.852,95,724
15851,Sean Murphy,7,4.1,11,2.7,82,3.7,35,6.4,53,0.4,6,0.3,11,1,87,0,14,0.4,12,0,14,0.4,26,1.4,42,0.286,14,314
